RELIANCE,Reliance Industries Limited
TCS,Tata Consultancy Services Limited
HDFCBANK,HDFC Bank Limited
INFY,Infosys Limited
ICICIBANK,ICICI Bank Limited
HINDUNILVR,Hindustan Unilever Limited
SBIN,State Bank of India
BAJFINANCE,Bajaj Finance Limited
HDFC,Housing Development Finance Corporation Limited
BHARTIARTL,Bharti Airtel Limited
KOTAKBANK,Kotak Mahindra Bank Limited
WIPRO,Wipro Limited
HCLTECH,HCL Technologies Limited
ITC,ITC Limited
ADANIGREEN,Adani Green Energy Limited
ASIANPAINT,Asian Paints Limited
BAJAJFINSV,Bajaj Finserv Limited
ADANITRANS,Adani Transmission Limited
DMART,Avenue Supermarts Limited
LT,Larsen & Toubro Limited
ATGL,Adani Total Gas Limited
AXISBANK,Axis Bank Limited
MARUTI,Maruti Suzuki India Limited
TITAN,Titan Company Limited
ADANIENT,Adani Enterprises Limited
SUNPHARMA,Sun Pharmaceutical Industries Limited
ONGC,Oil & Natural Gas Corporation Limited
ULTRACEMCO,UltraTech Cement Limited
JSWSTEEL,JSW Steel Limited
ADANIPORTS,Adani Ports and Special Economic Zone Limited
TATASTEEL,Tata Steel Limited
POWERGRID,Power Grid Corporation of India Limited
VEDL,Vedanta Limited
TECHM,Tech Mahindra Limited
TATAMOTORS,Tata Motors Limited
HINDZINC,Hindustan Zinc Limited
NTPC,NTPC Limited
HINDALCO,Hindalco Industries Limited
PIDILITIND,Pidilite Industries Limited
DIVISLAB,Divi's Laboratories Limited
HDFCLIFE,HDFC Life Insurance Company Limited
COALINDIA,Coal India Limited
SBILIFE,SBI Life Insurance Company Limited
IOC,Indian Oil Corporation Limited
GRASIM,Grasim Industries Limited
LTI,Larsen & Toubro Infotech Limited
BAJAJ-AUTO,Bajaj Auto Limited
M&M,Mahindra & Mahindra Limited
DABUR,Dabur India Limited
DLF,DLF Limited
SHREECEM,SHREE CEMENT LIMITED
SIEMENS,Siemens Limited
CIPLA,Cipla Limited
SBICARD,SBI Cards and Payment Services Limited
NYKAA,FSN E-Commerce Ventures Limited
SRF,SRF Limited
BPCL,Bharat Petroleum Corporation Limited
INDIGO,InterGlobe Aviation Limited
BRITANNIA,Britannia Industries Limited
GODREJCP,Godrej Consumer Products Limited
TATAPOWER,Tata Power Company Limited
INDUSINDBK,IndusInd Bank Limited
HAVELLS,Havells India Limited
ICICIPRULI,ICICI Prudential Life Insurance Company Limited
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED
DRREDDY,Dr. Reddy's Laboratories Limited
ADANIPOWER,Adani Power Limited
MINDTREE,MindTree Limited
GAIL,GAIL (India) Limited
BERGEPAINT,Berger Paints (I) Limited
EICHERMOT,Eicher Motors Limited
AWL,Adani Wilmar Limited
ICICIGI,ICICI Lombard General Insurance Company Limited
MARICO,Marico Limited
APOLLOHOSP,Apollo Hospitals Enterprise Limited
ZOMATO,Zomato Limited
MCDOWELL-N,United Spirits Limited
MPHASIS,MphasiS Limited
IRCTC,Indian Railway Catering And Tourism Corporation Limited
INDUSTOWER,Indus Towers Limited
AMBUJACEM,Ambuja Cements Limited
CHOLAFIN,Cholamandalam Investment and Finance Company Limited
UPL,UPL Limited
NAUKRI,Info Edge (India) Limited
BANKBARODA,Bank of Baroda
BAJAJHLDNG,Bajaj Holdings & Investment Limited
TATAELXSI,Tata Elxsi Limited
JINDALSTEL,Jindal Steel & Power Limited
LODHA,Macrotech Developers Limited
LTTS,L&T Technology Services Limited
GLAND,Gland Pharma Limited
MUTHOOTFIN,Muthoot Finance Limited
PEL,Piramal Enterprises Limited
BEL,Bharat Electronics Limited
JSWENERGY,JSW Energy Limited
HAL,Hindustan Aeronautics Limited
BANDHANBNK,Bandhan Bank Limited
PAGEIND,Page Industries Limited
NMDC,NMDC Limited
TORNTPHARM,Torrent Pharmaceuticals Limited
PGHH,Procter & Gamble Hygiene and Health Care Limited
GODREJPROP,Godrej Properties Limited
IDBI,IDBI Bank Limited
HEROMOTOCO,Hero MotoCorp Limited
HDFCAMC,HDFC Asset Management Company Limited
ABB,ABB India Limited
TRENT,Trent Limited
MOTHERSUMI,Motherson Sumi Systems Limited
ALKEM,Alkem Laboratories Limited
PIIND,PI Industries Limited
BOSCHLTD,Bosch Limited
COLPAL,Colgate Palmolive (India) Limited
CANBK,Canara Bank
BALKRISIND,Balkrishna Industries Limited
VOLTAS,Voltas Limited
CONCOR,Container Corporation of India Limited
STARHEALTH,Star Health and Allied Insurance Company Limited
VBL,Varun Beverages Limited
SAIL,Steel Authority of India Limited
ASTRAL,Astral Limited
ACC,ACC Limited
BIOCON,Biocon Limited
SONACOMS,Sona BLW Precision Forgings Limited
UBL,United Breweries Limited
AUBANK,AU Small Finance Bank Limited
AUROPHARMA,Aurobindo Pharma Limited
PNB,Punjab National Bank
HINDPETRO,Hindustan Petroleum Corporation Limited
PERSISTENT,Persistent Systems Limited
ZYDUSLIFE,Zydus Lifesciences Limited
POLYCAB,Polycab India Limited
HONAUT,Honeywell Automation India Limited
TATACOMM,Tata Communications Limited
JUBLFOOD,Jubilant Foodworks Limited
AARTIIND,Aarti Industries Limited
GUJGASLTD,Gujarat Gas Limited
ASHOKLEY,Ashok Leyland Limited
IOB,Indian Overseas Bank
PAYTM,One 97 Communications Limited
OBEROIRLTY,Oberoi Realty Limited
LUPIN,Lupin Limited
MAXHEALTH,Max Healthcare Institute Limited
